resource,properResName,scientificName
122672000,    Splitnose rockfish,Sebastes diploproa 
122672001,     Splitnose rockfish [CF retention],Sebastes diploproa 
122672002,     Splitnose rockfish [rod and reel],Sebastes diploproa 
122672003,     Splitnose rockfish [other gear],Sebastes diploproa 
122674000,    Stripetail rockfish,Sebastes saxicola 
122674001,     Stripetail rockfish [CF retention],Sebastes saxicola 
122674002,     Stripetail rockfish [rod and reel],Sebastes saxicola 
122674003,     Stripetail rockfish [other gear],Sebastes saxicola 
122676000,    Sharpchin rockfish,Sebastes zacentrus 
122676001,     Sharpchin rockfish [CF retention],Sebastes zacentrus 
122676002,     Sharpchin rockfish [rod and reel],Sebastes zacentrus 
122676003,     Sharpchin rockfish [other gear],Sebastes zacentrus 
122678000,    Rougheye rockfish,Sebastes aleutianus 
122678001,     Rougheye rockfish [CF retention],Sebastes aleutianus 
122678002,     Rougheye rockfish [rod and reel],Sebastes aleutianus 
122678003,     Rougheye rockfish [other gear],Sebastes aleutianus 
122680000,    Shortraker rockfish,Sebastes borealis 
122680001,     Shortraker rockfish [CF retention],Sebastes borealis 
122680002,     Shortraker rockfish [rod and reel],Sebastes borealis 
122680003,     Shortraker rockfish [other gear],Sebastes borealis 
122682000,    Blackgill rockfish (nonresident),Sebastes melanostomus 
122682001,     Blackgill rockfish (nonresident) [CF retention],Sebastes melanostomus 
122682002,     Blackgill rockfish (nonresident) [rod and reel],Sebastes melanostomus 
122682003,     Blackgill rockfish (nonresident) [other gear],Sebastes melanostomus 
122699000,    Unspecified rockfishes,  
122699001,     Unspecified rockfishes [CF retention],  
122699002,     Unspecified rockfishes [rod and reel],  
122699003,     Unspecified rockfishes [other gear],  
122800000,   Sablefish (black cod),Anoplopoma fimbria 
122800001,    Sablefish (black cod) [CF retention],Anoplopoma fimbria 
122800002,    Sablefish (black cod) [rod and reel],Anoplopoma fimbria 
122800003,    Sablefish (black cod) [other gear],Anoplopoma fimbria 
123000000,   Sculpins,  
123000001,    Sculpins [CF retention],  
123000002,    Sculpins [rod and reel],  
123000003,    Sculpins [other gear],  
123002000,    Buffalo sculpin,Enophrys bison 
123002001,     Buffalo sculpin [CF retention],Enophrys bison 
123002002,     Buffalo sculpin [rod and reel],Enophrys bison 
123002003,     Buffalo sculpin [other gear],Enophrys bison 
123004000,    Bullhead sculpin,  
123004001,     Bullhead sculpin [CF retention],  
123004002,     Bullhead sculpin [rod and reel],  
123004003,     Bullhead sculpin [other gear],  
123006000,    Irish lords,  
123006001,     Irish lords [CF retention],  
123006002,     Irish lords [rod and reel],  
123006003,     Irish lords [other gear],  
123006020,     Red Irish lord,Hemilepidotus hemilepidotus 
123006021,Red Irish lord [CF retention],Hemilepidotus hemilepidotus 
123006022,Red Irish lord [rod and reel],Hemilepidotus hemilepidotus 
123006023,Red Irish lord [other gear],Hemilepidotus hemilepidotus 
123006990,     Unspecified Irish lords,  
123006991,Unspecified Irish lords [CF retention],  
123006992,Unspecified Irish lords [rod and reel],  
123006993,Unspecified Irish lords [other gear],  
123008000,    Yellow sculpin,  
123008001,     Yellow sculpin [CF retention],  
123008002,     Yellow sculpin [rod and reel],  
123008003,     Yellow sculpin [other gear],  
123099000,    Unspecified sculpins,  
123099001,     Unspecified sculpins [CF retention],  
123099002,     Unspecified sculpins [rod and reel],  
123099003,     Unspecified sculpins [other gear],  
123200000,   Shark,  
123200001,    Shark [CF retention],  
123200002,    Shark [rod and reel],  
123200003,    Shark [other gear],  
123202000,    Dogfish,Squalus acanthias 
123202001,     Dogfish [CF retention],Squalus acanthias 
123202002,     Dogfish [rod and reel],Squalus acanthias 
123202003,     Dogfish [other gear],Squalus acanthias 
123204000,    Salmon shark,Lamna ditropis 
123204001,     Salmon shark [CF retention],Lamna ditropis 
123204002,     Salmon shark [rod and reel],Lamna ditropis 
123204003,     Salmon shark [other gear],Lamna ditropis 
123299000,    Unspecified sharks,  
123299001,     Unspecified sharks [CF retention],  
123299002,     Unspecified sharks [rod and reel],  
123299003,     Unspecified sharks [other gear],  
123400000,   Unspecified skates,  
123400001,    Unspecified skates [CF retention],  
123400002,    Unspecified skates [rod and reel],  
123400003,    Unspecified skates [other gear],  
123600000,   Soles,  
123600001,    Soles [CF retention],  
123600002,    Soles [rod and reel],  
123600003,    Soles [other gear],  
123602000,    Rex sole,Glyptocephalus zachirus 
123602001,     Rex sole [CF retention],Glyptocephalus zachirus 
123602002,     Rex sole [rod and reel],Glyptocephalus zachirus 
123602003,     Rex sole [other gear],Glyptocephalus zachirus 
123604000,    Rock sole,Lepidopsetta spp. 
123604001,     Rock sole [CF retention],Lepidopsetta spp. 
